,Expansion Code,Packs Purchased,Packs Opened,Standard Dev,min,5%,median,95%,max
0,ZNR,406.7971,424.6469,33.788047170412206,287,354.0,407.0,461.0499999999993,540
1,M21,325.4789,339.1412,30.848710747614717,223,281.0,323.0,376.0,470
2,IKO,326.1407,339.8913,30.77235940759174,223,281.0,323.0,376.0,458
3,THB,326.0857,339.8426,30.85858965523214,228,280.0,323.0,377.0,443
4,ELD,326.6444,340.4774,30.651749520051872,223,281.0,324.0,377.0,447
5,M20,326.3182,340.0935,30.752390943794925,219,281.0,323.0,376.0,446
6,WAR,325.9534,339.6909,31.11299452704609,221,280.0,323.0,378.0,449
7,RNA,325.7713,339.4744,30.807917753558094,220,280.0,323.0,375.0,445
8,GRN,326.0862,339.8357,30.956372034849306,226,280.0,323.0,376.0,451
9,M19,345.2622,361.2725,31.62930367807676,240,294.0,344.0,400.0,471
10,DOM,325.0367,338.6514,30.648049743988604,222,280.0,323.0,375.0,445
11,ROI,282.2367,293.1428,28.671865532434406,197,236.0,278.0,330.0,404
12,XLN,329.6029,339.3006,30.60551929946623,252,284.0,327.0,381.0,459
