,Expansion Code,Packs Purchased,Packs Opened,Standard Dev,min,5%,median,95%,max,mythics
0,ZNR,248.7805,248.7805,5.9047370601915885,228,239.0,249.0,258.0,273,45.9351
1,M21,205.0778,205.0778,4.791987808832572,183,197.0,205.0,212.0,226,34.7666
2,IKO,205.1934,205.1934,4.686085406818787,186,198.0,205.0,212.0,228,34.94
3,THB,204.6681,204.6681,4.3994706942994855,188,198.0,205.0,212.0,223,34.971
4,ELD,204.6868,204.6868,4.411406324518294,188,198.0,205.0,212.0,224,34.9788
5,M20,205.0638,205.0638,4.677449044083751,187,198.0,205.0,212.0,222,34.7276
6,WAR,204.6074,204.6074,4.464892522782603,186,197.0,205.0,212.0,227,34.9015
7,RNA,205.1046,205.1046,4.686433488272292,189,198.0,205.0,212.0,225,34.7936
8,GRN,205.182,205.182,4.707916311915495,188,198.0,205.0,212.0,227,34.8824
9,M19,205.1834,205.1834,4.714887532062669,186,198.0,205.0,212.0,223,34.8787
10,DOM,204.6452,204.6452,4.484653493861036,186,198.0,205.0,212.0,227,34.9693
11,ROI,183.8845,183.8845,4.888615320313105,169,176.0,184.0,193.0,204,31.774
12,XLN,242.3318,242.3328,5.844305669624066,220,233.0,242.0,252.0,264,42.0999
